time,crime
1/2/2019,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED
1/2/2019,LEAVING SCENE OF ACCIDENT
1/2/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/2/2019,WEAPONS-STATE VIOL/UNLWFL USE/DISCHARGING
1/2/2019,SEX OFFNS-EXPOSURE/EXPOSING PERSON
1/2/2019,LARCENY-SHOPLIFT UNDER $500
1/2/2019,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL
1/2/2019,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC"
1/2/2019,"LARCENY-FROM MTR VEH $500 - $24,999"
1/2/2019,SIMPLE ASSAULT-ADULT/NO INJURY
1/2/2019,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL
1/2/2019,"LARCENY-MTR VEH PARTS $500 - $24,999"
1/2/2019,LEAVING SCENE OF ACCIDENT
1/2/2019,BURGLARY-RESIDENCE/NIT/ATT FORCE ENTRY
1/2/2019,AUTO THEFT-PERM RETNT/JOY RIDE
1/2/2019,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY
1/2/2019,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY
1/2/2019,LARCENY-FROM MTR VEH UNDER $500
1/2/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/2/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/2/2019,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET"
1/2/2019,LEAVING SCENE OF ACCIDENT
1/2/2019,"LARCENY-FROM MTR VEH $500 - $24,999"
1/2/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/2/2019,"LARCENY-FROM BUILDING $500 - $24,999"
1/2/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/2/2019,LARCENY-MTR VEH PARTS UNDER $500
1/2/2019,LARCENY-FROM BUILDING UNDER $500
1/2/2019,LEAVING SCENE OF ACCIDENT
1/2/2019,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET"
1/2/2019,LARCENY-ALL OTHER UNDER $500
1/2/2019,LOITERING-BEGGING
1/2/2019,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
1/2/2019,"LARCENY-FROM MTR VEH $500 - $24,999"
1/2/2019,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT
1/2/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/2/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/2/2019,LARCENY-FROM MTR VEH UNDER $500
1/2/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/2/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/2/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
